Name:String(100):Required,Description:String(1024),Type:String(64):Required,Is Root:Boolean(true|false):Required
Location#All Locations#AMER#US#SJC#SJC-3-1,SJC-3-1,Location,FALSE
Location#All Locations#APJC,APJC,Location,FALSE
Location#All Locations#APJC#AU,AU,Location,FALSE
Location#All Locations#APJC#AU#MQP,MQP,Location,FALSE
Location#All Locations#APJC#AU#SYD,SYD,Location,FALSE
Location#All Locations#APJC#AU#MQP#MQP-1-1,MQP-1-1,Location,FALSE
Location#All Locations#APJC#AU#SYD#SYD-1-1,SYD-1-1,Location,FALSE
Location#All Locations#APJC#CN,CN,Location,FALSE
Location#All Locations#APJC#CN#PEK,PEK,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-1-1,PEK-1-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-10-1,PEK-10-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-11-1,PEK-11-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-12-1,PEK-12-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-13-1,PEK-13-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-14-1,PEK-14-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-15-1,PEK-15-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-16-1,PEK-16-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-17-1,PEK-17-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-18-1,PEK-18-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-19-1,PEK-19-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-2-1,PEK-2-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-20-1,PEK-20-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-21-1,PEK-21-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-22-1,PEK-22-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-23-1,PEK-23-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-24-1,PEK-24-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-25-1,PEK-25-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-26-1,PEK-26-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-27-1,PEK-27-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-28-1,PEK-28-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-29-1,PEK-29-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-3-1,PEK-3-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-30-1,PEK-30-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-31-1,PEK-31-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-4-1,PEK-4-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-5-1,PEK-5-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-6-1,PEK-6-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-7-1,PEK-7-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-8-1,PEK-8-1,Location,FALSE
Location#All Locations#APJC#CN#PEK#PEK-9-1,PEK-9-1,Location,FALSE
Location#All Locations#APJC#CN#SHN,SHN,Location,FALSE
Location#All Locations#APJC#CN#SHN#SHN-1-1,SHN-1-1,Location,FALSE
Location#All Locations#APJC#IN,IN,Location,FALSE
Location#All Locations#APJC#IN#BGL,BGL,Location,FALSE
Location#All Locations#APJC#IN#BGL#BGL-1-1,BGL-1-1,Location,FALSE
Location#All Locations#APJC#IN#BGL#BGL-2-1,BGL-2-1,Location,FALSE
Location#All Locations#APJC#IN#HYD,HYD,Location,FALSE
Location#All Locations#APJC#IN#HYD#HYD-1-1,HYD-1-1,Location,FALSE
Location#All Locations#APJC#JP,JP,Location,FALSE
Location#All Locations#APJC#JP#TYO,TYO,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-21,TYO-1-21,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-24,TYO-1-24,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-25,TYO-1-25,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-26,TYO-1-26,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-27,TYO-1-27,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-1-7,TYO-1-7,Location,FALSE
Location#All Locations#APJC#JP#TYO#TYO-2-1,TYO-2-1,Location,FALSE
Location#All Locations#APJC#KR,KR,Location,FALSE
Location#All Locations#APJC#KR#SEO,SEO,Location,FALSE
Location#All Locations#APJC#KR#SEO#SEO-1-1,SEO-1-1,Location,FALSE
Location#All Locations#APJC#SG,SG,Location,FALSE
Location#All Locations#APJC#SG#SIN,SIN,Location,FALSE
Location#All Locations#APJC#SG#SIN#SIN-1-1,SIN-1-1,Location,FALSE
Location#All Locations#APJC#SG#SIN#SIN-2-1,SIN-2-1,Location,FALSE
Location#All Locations#APJC#SG#SIN#SIN-3-1,SIN-3-1,Location,FALSE
Location#All Locations#APJC#SG#SIN#SIN-4-1,SIN-4-1,Location,FALSE
Location#All Locations#EMEA,EMEA,Location,FALSE
Location#All Locations#EMEA#BE,BE,Location,FALSE
Location#All Locations#EMEA#BE#DGM,DGM,Location,FALSE
Location#All Locations#EMEA#BE#DGM#DGM-1-1,DGM-1-1,Location,FALSE
Location#All Locations#EMEA#BE#DGM#DGM-2-1,DGM-2-1,Location,FALSE
Location#All Locations#EMEA#BE#DGM#DGM-3-1,DGM-3-1,Location,FALSE
Location#All Locations#EMEA#BE#DGM#DGM-4-1,DGM-4-1,Location,FALSE
Location#All Locations#EMEA#BE#DGM#DGM-5-1,DGM-5-1,Location,FALSE
Location#All Locations#EMEA#CH,CH,Location,FALSE
Location#All Locations#EMEA#CH#WLS,WLS,Location,FALSE
Location#All Locations#EMEA#CH#WLS#WLS-1-1,WLS-1-1,Location,FALSE
Location#All Locations#EMEA#DE,DE,Location,FALSE
Location#All Locations#EMEA#DE#FRA,FRA,Location,FALSE
Location#All Locations#EMEA#DE#FRA#FRA-1-1,FRA-1-1,Location,FALSE
Location#All Locations#EMEA#DE#MNC,MNC,Location,FALSE
Location#All Locations#EMEA#DE#MNC#MNC-1-1,MNC-1-1,Location,FALSE
Location#All Locations#EMEA#ES,ES,Location,FALSE
Location#All Locations#EMEA#ES#BRC,BRC,Location,FALSE
Location#All Locations#EMEA#ES#BRC#BRC-1-1,BRC-1-1,Location,FALSE
Location#All Locations#EMEA#ES#BRC#BRC-2-1,BRC-2-1,Location,FALSE
Location#All Locations#EMEA#ES#BRC#BRC-3-1,BRC-3-1,Location,FALSE
Location#All Locations#EMEA#ES#BRC#BRC-4-1,BRC-4-1,Location,FALSE
Location#All Locations#EMEA#FR,FR,Location,FALSE
Location#All Locations#EMEA#FR#PRS,PRS,Location,FALSE
Location#All Locations#EMEA#FR#PRS#PRS-1-1,PRS-1-1,Location,FALSE
Location#All Locations#EMEA#IL,IL,Location,FALSE
Location#All Locations#EMEA#IL#JRS,JRS,Location,FALSE
Location#All Locations#EMEA#IL#JRS#JRS-1-1,JRS-1-1,Location,FALSE
Location#All Locations#EMEA#IR,IR,Location,FALSE
Location#All Locations#EMEA#IR#GWY,GWY,Location,FALSE
Location#All Locations#EMEA#IR#GWY#GWY-1-1,GWY-1-1,Location,FALSE
Location#All Locations#EMEA#IT,IT,Location,FALSE
Location#All Locations#EMEA#IT#ROM,ROM,Location,FALSE
Location#All Locations#EMEA#IT#ROM#ROM-1-1,ROM-1-1,Location,FALSE
Location#All Locations#EMEA#KE,KE,Location,FALSE
Location#All Locations#EMEA#KE#NRB,NRB,Location,FALSE
Location#All Locations#EMEA#KE#NRB#NRB-1-1,NRB-1-1,Location,FALSE
Location#All Locations#EMEA#NO,NO,Location,FALSE
Location#All Locations#EMEA#NO#FRD,FRD,Location,FALSE
Location#All Locations#EMEA#NO#FRD#FRD-1-1,FRD-1-1,Location,FALSE
Location#All Locations#EMEA#NO#FRD#FRD-2-1,FRD-2-1,Location,FALSE
Location#All Locations#EMEA#NO#FRD#FRD-3-1,FRD-3-1,Location,FALSE
Location#All Locations#EMEA#NO#FRD#FRD-4-1,FRD-4-1,Location,FALSE
Location#All Locations#EMEA#PL,PL,Location,FALSE
Location#All Locations#EMEA#PL#KRK,KRK,Location,FALSE
Location#All Locations#EMEA#PL#KRK#KRK-1-1,KRK-1-1,Location,FALSE
Location#All Locations#EMEA#UK,UK,Location,FALSE
Location#All Locations#EMEA#UK#LON,LON,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-1-1,LON-1-1,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-1-2,LON-1-2,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-1-3,LON-1-3,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-1-G,LON-1-G,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-2-1,LON-2-1,Location,FALSE
Location#All Locations#EMEA#UK#LON#LON-3-1,LON-3-1,Location,FALSE
Location#All Locations#EMEA#ZA,ZA,Location,FALSE
Location#All Locations#EMEA#ZA#BRY,BRY,Location,FALSE
Location#All Locations#EMEA#ZA#BRY#BRY-1-1,BRY-1-1,Location,FALSE
Location#All Locations#EMEA#ZA#BRY#BRY-2-1,BRY-2-1,Location,FALSE
Location#All Locations#EMEA#ZA#BRY#BRY-3-1,BRY-3-1,Location,FALSE
