Name:String(100):Required,Description:String(1024),Type:String(64):Required,Is Root:Boolean(true|false):Required
Department#Department#Telemedicine,Telemedicine,Department,FALSE
Department#Department#Telemetry,Telemetry,Department,FALSE
Department#Department#Therapy,Therapy,Department,FALSE
Department#Department#Thoracic,Thoracic,Department,FALSE
Department#Department#TransitionalCare,TransitionalCare,Department,FALSE
Department#Department#TransportationServices,TransportationServices,Department,FALSE
Department#Department#TraumaCenter,TraumaCenter,Department,FALSE
Department#Department#UrgentCare,UrgentCare,Department,FALSE
Department#Department#Urology,Urology,Department,FALSE
Department#Department#VendorManagement,VendorManagement,Department,FALSE
Department#Department#VisitorManagement,VisitorManagement,Department,FALSE
Department#Department#VolunteerServices,VolunteerServices,Department,FALSE
Department#Department#WalkInClinic,WalkInClinic,Department,FALSE
Department#Department#Waste,Waste,Department,FALSE
Department#Department#Wellness,Wellness,Department,FALSE
